gemeenteNaamId;gemeenteId;taalCodeGemeenteNaam;gemeenteNaam
499;388;fr;Modave
500;389;fr;Nandrin
501;390;fr;Ouffet
502;391;fr;Verlaine
503;392;fr;Villers-le-Bouillet
504;393;fr;Wanze
505;394;fr;Anthisnes
506;395;fr;Engis
507;396;fr;Tinlot
508;397;fr;Ans
509;398;fr;Awans
510;399;fr;Aywaille
511;400;fr;Bassenge
512;400;nl;Bitsingen
513;401;fr;Beyne-Heusay
514;402;fr;Chaudfontaine
515;403;fr;Comblain-au-Pont
516;404;fr;Dalhem
517;405;fr;Esneux
518;406;fr;Fléron
519;407;fr;Herstal
520;408;fr;Juprelle
521;409;fr;Liège
522;409;nl;Luik
523;409;de;Lüttich
524;410;fr;Oupeye
525;411;fr;Saint-Nicolas
526;412;fr;Seraing
527;413;fr;Soumagne
528;414;fr;Sprimont
529;415;nl;Wezet
530;415;fr;Visé
531;416;fr;Grâce-Hollogne
532;417;fr;Blégny
533;418;fr;Flémalle
534;419;fr;Neupré
535;420;fr;Trooz
536;421;nl;Amel
537;421;fr;Amblève
538;421;de;Amel
539;422;fr;Aubel
540;423;fr;Baelen
541;424;nl;Büllingen
542;424;fr;Bullange
543;424;de;Büllingen
544;425;nl;Bütgenbach
545;425;fr;Butgenbach
546;425;de;Bütgenbach
547;426;fr;Dison
548;427;fr;Eupen
549;427;de;Eupen
550;428;fr;Herve
551;429;fr;Jalhay
552;430;nl;Kelmis
553;430;fr;La Calamine
554;430;de;Kelmis
555;431;fr;Lierneux
556;432;nl;Limburg
557;432;fr;Limbourg
558;433;fr;Lontzen
559;433;de;Lontzen
560;434;fr;Malmedy
561;434;de;Malmedy
562;434;nl;Malmedy
563;435;fr;Olne
564;436;fr;Pepinster
565;437;fr;Raeren
566;437;de;Raeren
567;438;nl;Sankt Vith
568;438;fr;Saint-Vith
569;438;de;Sankt Vith
570;439;fr;Spa
571;440;fr;Stavelot
572;441;fr;Stoumont
573;442;fr;Theux
574;443;fr;Verviers
575;444;de;Waimes
576;444;nl;Weismes
577;444;fr;Waimes
578;445;fr;Welkenraedt
579;446;fr;Trois-Ponts
580;447;de;Burg-Reuland
581;447;fr;Burg-Reuland
582;448;fr;Plombières
583;449;fr;Thimister-Clermont
584;450;fr;Berloz
585;451;fr;Braives
586;452;fr;Crisnée
587;453;fr;Donceel
588;454;fr;Fexhe-le-Haut-Clocher
589;455;fr;Geer
590;456;nl;Hannuit
591;456;fr;Hannut
592;457;nl;Lijsem
593;457;fr;Lincent
594;458;nl;Oerle
595;458;fr;Oreye
596;459;fr;Remicourt
597;460;fr;Saint-Georges-sur-Meuse
598;461;fr;Waremme
599;461;nl;Borgworm
600;462;fr;Wasseiges
601;463;fr;Faimes
602;464;nl;As
603;465;nl;Beringen
604;466;nl;Diepenbeek
605;467;nl;Genk
606;468;nl;Gingelom
607;469;nl;Halen
608;470;nl;Hasselt
609;471;nl;Herk-de-Stad
610;471;fr;Herck-la-Ville
611;471;de;Herk-de-Stad
612;472;nl;Leopoldsburg
613;472;de;Leopoldsburg
614;472;fr;Bourg-Léopold
615;473;nl;Lummen
616;474;nl;Nieuwerkerken
617;475;nl;Opglabbeek
618;476;nl;Sint-Truiden
619;476;fr;Saint-Trond
620;476;de;Sint-Truiden
621;477;nl;Tessenderlo
622;478;nl;Zonhoven
623;479;nl;Zutendaal
624;480;nl;Ham
625;481;nl;Heusden-Zolder
626;482;nl;Bocholt
627;483;nl;Bree
628;484;nl;Kinrooi
629;485;nl;Lommel
630;486;nl;Maaseik
631;487;nl;Neerpelt
632;488;nl;Overpelt
633;489;nl;Peer
634;490;nl;Hamont-Achel
635;491;nl;Hechtel-Eksel
636;492;nl;Houthalen-Helchteren
637;493;nl;Meeuwen-Gruitrode
638;494;nl;Dilsen-Stokkem
639;495;nl;Alken
640;496;nl;Bilzen
641;497;fr;Looz
642;497;nl;Borgloon
643;497;de;Borgloon
644;498;nl;Heers
645;499;nl;Herstappe
646;499;fr;Herstappe
647;500;nl;Hoeselt
648;501;nl;Kortessem
649;502;nl;Lanaken
650;503;nl;Riemst
651;504;de;Tongeren
652;504;nl;Tongeren
653;504;fr;Tongres
654;505;nl;Wellen
655;506;nl;Maasmechelen
656;507;nl;Voeren
657;507;fr;Fourons
658;508;nl;Aarlen
659;508;fr;Arlon
660;509;fr;Attert
661;510;fr;Aubange
662;511;fr;Martelange
663;512;fr;Messancy
664;513;nl;Bastenaken
665;513;fr;Bastogne
666;514;fr;Bertogne
667;515;fr;Fauvillers
668;516;fr;Houffalize
669;517;fr;Vielsalm
670;518;fr;Vaux-sur-Sûre
671;519;fr;Gouvy
672;520;fr;Sainte-Ode
673;521;fr;Durbuy
674;522;fr;Erezée
675;523;fr;Hotton
676;524;fr;La Roche-en-Ardenne
677;525;fr;Marche-en-Famenne
678;526;fr;Nassogne
679;527;fr;Rendeux
680;528;fr;Tenneville
681;529;fr;Manhay
682;530;fr;Bertrix
683;531;fr;Bouillon
684;532;fr;Daverdisse
685;533;fr;Herbeumont
686;534;fr;Léglise
687;535;fr;Libin
688;536;fr;Neufchâteau
689;537;fr;Paliseul
690;538;fr;Saint-Hubert
691;539;fr;Tellin
692;540;fr;Wellin
693;541;fr;Libramont-Chevigny
694;542;fr;Chiny
695;543;fr;Etalle
696;544;fr;Florenville
697;545;fr;Meix-devant-Virton
698;546;fr;Musson
699;547;fr;Saint-Léger
700;548;fr;Tintigny
701;549;fr;Virton
702;550;fr;Habay
703;551;fr;Rouvroy
704;552;fr;Anhée
705;553;fr;Beauraing
706;554;fr;Bièvre
707;555;fr;Ciney
708;556;fr;Dinant
709;557;fr;Gedinne
710;558;fr;Hamois
711;559;fr;Havelange
712;560;fr;Houyet
713;561;fr;Onhaye
714;562;fr;Rochefort
715;563;fr;Somme-Leuze
716;564;fr;Yvoir
717;565;fr;Hastière
718;566;fr;Vresse-sur-Semois
719;567;fr;Andenne
720;568;fr;Assesse
721;569;fr;Eghezée
722;570;fr;Floreffe
723;571;fr;Fosses-la-Ville
724;572;fr;Gesves
725;573;fr;Mettet
726;574;nl;Namen
727;574;fr;Namur
728;575;fr;Ohey
729;576;fr;Profondeville
730;577;fr;Sombreffe
731;578;fr;Sambreville
732;579;fr;Fernelmont
733;580;fr;Jemeppe-sur-Sambre
734;581;fr;La Bruyère
735;582;fr;Gembloux
736;583;fr;Cerfontaine
737;584;fr;Couvin
738;585;fr;Doische
739;586;fr;Florennes
740;587;fr;Philippeville
741;588;fr;Walcourt
742;589;fr;Viroinval
743;590;nl;Puurs-Sint-Amands
744;591;nl;Deinze
745;592;nl;Aalter
746;593;nl;Lievegem
747;594;nl;Kruisem
748;595;nl;Oudsbergen
749;596;nl;Pelt
